"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"ukg3","溪仔邊烤肉飯 (新北新莊店)","台式","4.7","(500+)","new-taipei-city"
"klor","嘉義火雞肉飯 (新北泰山店)","台式","4.8","(100+)","new-taipei-city"
"lsxv","虎爺大吉","小吃","4.6","(100+)","new-taipei-city"
"pbmi","Mai Deli 家香越南美食","東南亞","4.9","(57)","new-taipei-city"
"f1bh","火冒三丈-成都冒菜火鍋","中式","4.8","(2000+)","new-taipei-city"
"qo1h","HoChiMinh越南河粉店 (新莊西盛店)","東南亞","2.9","(2)","new-taipei-city"
"v8xh","麵食煮意","台式","4.7","(2000+)","new-taipei-city"
"si3p","冰嗆司豬","小吃","4.9","(100+)","new-taipei-city"
"b173","隱暮 香料熟成咖哩","日式","4.8","(100+)","new-taipei-city"
"wzyf","和風御食屋","台式","4.7","(2000+)","new-taipei-city"
"wok0","晨坊早午餐","早餐","4.5","(100+)","new-taipei-city"
"g64h","惡霸打拋豬飯","台式","4.5","(100+)","new-taipei-city"
"h8vc","星馬快餐 Star Horse Express (新北新莊店)","東南亞","4.8","(5000+)","new-taipei-city"
"d1fz","周師傅燒肉飯","台式","4.7","(500+)","new-taipei-city"
"a3yc","阿霞臭豆腐麵線","小吃","4.8","(3000+)","new-taipei-city"
"b1xh","一加一茶飲","飲料","4.8","(3000+)","new-taipei-city"
"b9mk","西盛古早味小吃","台式","4.5","(1000+)","new-taipei-city"
"klnw","精選杯","台式","4","(100+)","new-taipei-city"
"vb46","2020幸福早午餐","早餐","4.8","(3000+)","new-taipei-city"
"jkza","惡霸炸肉圓&惡霸鍋","台式","4.2","(100+)","new-taipei-city"
"jx5o","呂氏台式小吃 炒麵炒米粉 西瓜汁","台式","2.3","(13)","new-taipei-city"
"co5v","埔里放山雞","小吃","2.3","(21)","new-taipei-city"
"a0ss","卜派早餐吧","早餐","4.7","(500+)","new-taipei-city"
"knrg","鼎泰富越式料理","東南亞","4.7","(500+)","new-taipei-city"
"zezc","港款赤肉焿","台式","4.8","(100+)","new-taipei-city"
"b2gz","旺來鍋燒小吃","台式","4.7","(2000+)","new-taipei-city"
"ihqt","千職人","日式","4.8","(100+)","new-taipei-city"
"b0wg","地平線1號 Horizon No.1","歐美","4.6","(500+)","new-taipei-city"
"fq4m","元吉餐飲炒飯燴飯丼飯水餃粥專賣","台式","4.8","(500+)","new-taipei-city"
"w956","上上赤肉焿","台式","4.6","(94)","new-taipei-city"
"y0aj","5味臭臭鍋 (新莊中華店)","台式","4.7","(2000+)","new-taipei-city"
"vdw8","大總管手工包子饅頭","小吃","4.7","(100+)","new-taipei-city"
"q1kv","家香越食堂","東南亞","4.6","(500+)","new-taipei-city"
"f9wq","伙食Deli Box","台式","4.7","(2000+)","new-taipei-city"
"qt5h","柒飽飽餐坊","歐美","3.1","(67)","new-taipei-city"
"m3lw","皇爵 (新北新莊公園店)","飲料","4.8","(1000+)","new-taipei-city"
"dgm6","小玲越南美食","東南亞","4.9","(9)","new-taipei-city"
"c0r3","文寶美食館","健康餐","3.9","(11)","new-taipei-city"
"pkp1","台灣雙醬咖哩 (新北板橋店)","日式","4.4","(100+)","new-taipei-city"
"q7xx","香記便當","台式","4.4","(1000+)","new-taipei-city"
"ul3h","1985窯烤披薩 (新北新莊龍安店)","歐美","4.4","(100+)","new-taipei-city"
"a7pm","好爸爸鐵板燒便當","台式","4.8","(3000+)","new-taipei-city"
"kwi2","157號早餐店","早餐","4.9","(100+)","new-taipei-city"
"z2ok","上品手做赤肉羹 (新北新莊店)","台式","4.7","(500+)","new-taipei-city"
"b3ye","非吃不可燒肉飯","台式","4.5","(1000+)","new-taipei-city"
"ulcl","OD TEA 歐滴茶","飲料","4.9","(90)","new-taipei-city"
"z8sc","I'm Pasta (新北新莊店)","歐美","4.7","(3000+)","new-taipei-city"
"y7km","秋田義大利麵","歐美","4.7","(2000+)","new-taipei-city"
"vcsq","鴨口福脆皮烤鴨","中式","4.5","(100+)","new-taipei-city"
"l0wj","找找早餐","早餐","4.8","(500+)","new-taipei-city"
"cndk","陶鄉鵝肉 (新北新莊店)","台式","4.7","(15)","new-taipei-city"
"w05y","呷豆","台式","5","(3)","new-taipei-city"
"c5mg","來臨咖啡","歐美","5","(43)","new-taipei-city"
"e4x3","甄美味手工赤肉羹","小吃","4.6","(100+)","new-taipei-city"
"b4hx","呷霸牛肉麵","台式","4.9","(5000+)","new-taipei-city"
"lpu6","厚度早午餐","早餐","5","(14)","new-taipei-city"
"s91z","史艷文羹麵","台式","4.2","(50)","new-taipei-city"
"zfgs","問號Question Tea","飲料","4.5","(13)","new-taipei-city"
"tl9y","家後古早味 (新莊民安店)","台式","4.6","(17)","new-taipei-city"
"y0qp","醒暮早午餐","早餐","4.8","(3000+)","new-taipei-city"
"zff2","呷粗飽炒飯麵","台式","4.7","(100+)","new-taipei-city"
"of7q","初牧乳飲製造所 (新北新莊中港店)","飲料","4.7","(100+)","new-taipei-city"
"y376","瀧屋食堂","台式","4.5","(95)","new-taipei-city"
"f7co","阿義水果廣場(現切)","健康餐","4.9","(100+)","new-taipei-city"
"wzf0","Awake醒創意料理","歐美","5","(13)","new-taipei-city"
"g1r8","大眾廟蚵仔麵線","小吃","4.7","(100+)","new-taipei-city"
"s7ra","壩波茶","飲料","4.6","(1000+)","new-taipei-city"
"wcpt","鵝香世家鵝肉丼飯乾麵鵝油飯專賣","台式","4.8","(500+)","new-taipei-city"
"h6hx","Action！早倉","歐美","4.4","(100)","new-taipei-city"
"kr9s","半桶師小炒","台式","4.7","(1000+)","new-taipei-city"
"ldbo","鼎馨豬腳店","台式","4.8","(100+)","new-taipei-city"
"s9zb","天香麵食館","台式","4.7","(500+)","new-taipei-city"
"e3ik","台茶1号 (新莊復興店)","飲料","4.9","(2000+)","new-taipei-city"
"iuty","金品廣東粥","中式","4.7","(100+)","new-taipei-city"
"ujgc","水上米泰式餐廳 (新莊幸福店)","東南亞","4.7","(500+)","new-taipei-city"
"njuz","鴨爸庄","台式","5","(25)","new-taipei-city"
"k1t0","功夫排骨飯","台式","4.3","(100+)","new-taipei-city"
"mzz3","霸王雞腿便當","台式","4.6","(100+)","new-taipei-city"
"z4au","小茶齋 (新莊中港店)","飲料","4.8","(3000+)","new-taipei-city"
"lqq7","沁幸經典手搖飲","飲料","4.9","(500+)","new-taipei-city"
"zq6d","948麵線","小吃","4.8","(98)","new-taipei-city"
"hpq7","天九牛肉麵","台式","5","(2)","new-taipei-city"
"ucfq","貴族蛋糕","甜點","4.2","(55)","new-taipei-city"
"xvwd","喫鼎小火鍋","台式","5","(4)","new-taipei-city"
"rkp8","金四季湯包","中式","4.9","(100+)","new-taipei-city"
"xm3j","喝茶坊","飲料","4.8","(100+)","new-taipei-city"
"advk","珍粗飽鐵板便當","台式","4.8","(500+)","new-taipei-city"
"dw07","車頭鐵道弁当","台式","4.6","(100+)","new-taipei-city"
"tt7d","20號小廚","日式","4.7","(500+)","new-taipei-city"
"z4rr","四海遊龍 (新北板中店)","台式","4.7","(1000+)","new-taipei-city"
"v7gx","知高殿","台式","4.7","(100+)","new-taipei-city"
"qyhp","媽媽味傳統小吃","台式","4.7","(500+)","new-taipei-city"
"a529","復港美而美早午餐","早餐","4.6","(100+)","new-taipei-city"
"uq7i","嚴師父 海鮮快炒 炒飯炒麵","台式","4.7","(500+)","new-taipei-city"
"medu","林居早午餐","早餐","4.5","(5)","new-taipei-city"
"onhs","不夜侯製茶所 (新莊店)","飲料","4.9","(100+)","new-taipei-city"
"ww0g","中港豆漿大王","中式","4.6","(500+)","new-taipei-city"
"vyma","天津烤肉飯 (板橋僑中店)","中式","4.6","(37)","new-taipei-city"
"f9vp","五味臭臭鍋 (新莊天祥店)","台式","4.8","(500+)","new-taipei-city"
"utti","空中補給X金典排骨飯 (新北新海店)","台式","4.9","(37)","new-taipei-city"
"nu9i","香港鴻記燒臘便當快餐店","港式","4.6","(59)","new-taipei-city"
"zbnd","無限電競食堂","台式","4.6","(100+)","new-taipei-city"
"z65o","宇騰古早味油飯","台式","4.5","(100+)","new-taipei-city"
"x7lp","早點相遇-晨食專賣","早餐","4.9","(2000+)","new-taipei-city"
"c3kt","覺醒早餐店","早餐","4.9","(1000+)","new-taipei-city"
"rt42","中港蚵仔麵線","小吃","4.7","(1000+)","new-taipei-city"
"uti9","花蓮一品香扁食 (板橋龍泉店)","台式","4.3","(100+)","new-taipei-city"
"dhf6","饗禾日式咖哩食堂","日式","4.9","(100+)","new-taipei-city"
"k038","小水牛飲品店 (新莊天祥店)","飲料","4.8","(81)","new-taipei-city"
"hurt","克莉廚房 (新莊中港店)","台式","4.9","(100+)","new-taipei-city"
"g4lg","中誠 麻豆碗粿 肉粽","台式","4.5","(100+)","new-taipei-city"
"oi1p","老杜麵食館","台式","4.7","(500+)","new-taipei-city"
"z2lj","雅蜜亞米廚房 (板橋中正店)","歐美","4.8","(1000+)","new-taipei-city"
"li43","養肌殿","健康餐","4.8","(100+)","new-taipei-city"
"wq97","LittleSun小太陽造型包子饅頭","小吃","5","(4)","new-taipei-city"
"l2w1","鮮Q茶飲 (新莊頭前店)","飲料","5","(20)","new-taipei-city"
"nnel","德興健康輕飲食","日式","4.8","(100+)","new-taipei-city"
"m90h","茶餘飯後","歐美","4.6","(100+)","new-taipei-city"
"pz9r","饗板平價鐵板燒","台式","4.6","(100+)","new-taipei-city"
"b2cm","金吉利牛肉麵、金如意川味牛肉麵","台式","4.7","(5000+)","new-taipei-city"
"rmct","ㄡㄏㄞㄧㄡ複合式早午餐","早餐","4.8","(100+)","new-taipei-city"
"pcpj","松屋 (新莊中平店)","日式","4.6","(1000+)","new-taipei-city"
"b83q","新生雞肉飯(咖哩飯)","台式","4.6","(100+)","new-taipei-city"
"d1gk","樂堂咖哩炒飯","台式","4.8","(3000+)","new-taipei-city"
"dhf0","瑞億羊肉羹","台式","4.9","(100+)","new-taipei-city"
"aysi","烏冬食堂 (板橋中正店)","台式","5","(45)","new-taipei-city"
"d6vo","飯歌快炒","台式","4.6","(1000+)","new-taipei-city"
"i8tb","三商巧福 (4287雙鳳店)","台式","4.7","(1000+)","new-taipei-city"
"wfrj","王家快炒","台式","4.6","(100+)","new-taipei-city"
"n1vy","板凳麵","台式","4.3","(100+)","new-taipei-city"
"hp23","好口味美食 (炒麵 湯麵 粥品)","台式","4.9","(100+)","new-taipei-city"
"l7rt","五叔新港鴨肉羹","台式","4.8","(100+)","new-taipei-city"
"sls0","丘山餐館 Chou Shan","台式","4.7","(53)","new-taipei-city"
"ua8d","來呷是客魯肉飯與虱目魚(B612店)","台式","4.6","(2000+)","new-taipei-city"
"m46p","伴心早餐","早餐","4.6","(100+)","new-taipei-city"
"tg6c","卡哇伊蔬食坊","素食","4.9","(100+)","new-taipei-city"
"uxdm","鴻富馨炒飯與炒麵B612店","台式","4.7","(100+)","new-taipei-city"
"b5os","咖哩Curry","日式","4.8","(1000+)","new-taipei-city"
"de0d","松湛便當B612店","台式","4.8","(1000+)","new-taipei-city"
"ly11","路邊野雞","台式","5","(47)","new-taipei-city"
"b70j","Lazy Pasta 慵懶義式廚房 (新莊中和店)","歐美","4.7","(100+)","new-taipei-city"
"vj97","薽豐富雞肉飯小吃店","台式","4.7","(1000+)","new-taipei-city"
"q5nf","聽喵說早午餐","早餐","4.9","(500+)","new-taipei-city"
"mq61","Dreamers Coffee Roasters (新莊中平店)","歐美","5","(85)","new-taipei-city"
"rhik","餃餃香","台式","4.1","(53)","new-taipei-city"
"vpus","甘鹿兒","飲料","4.9","(100+)","new-taipei-city"
"b5h1","鼎膳坊牛肉麵 (新莊民安西店)","台式","4.3","(100+)","new-taipei-city"
"b5py","品悅香麻辣乾麵 (樹林三俊店)","台式","4.7","(1000+)","new-taipei-city"
"d2lu","福岡日式風味店","日式","4.6","(100+)","new-taipei-city"
"v9a5","下港老麵攤","台式","4.6","(1000+)","new-taipei-city"
"g3ba","赤鋒黑醬甜不辣","小吃","4.7","(500+)","new-taipei-city"
"meyv","菓點子 (新莊民安店)","飲料","4.9","(100+)","new-taipei-city"
"rklq","茂記豬腳飯","台式","4","(16)","new-taipei-city"
"y8yt","板橋老楊麵線","小吃","4.7","(500+)","new-taipei-city"
"ymoc","拉亞漢堡 (板橋新海店)","早餐","4.9","(100+)","new-taipei-city"
"q56s","清香飯丸早午餐","台式","4.8","(100+)","new-taipei-city"
"kh7b","山焙 (新莊幸福店)","飲料","4.7","(100+)","new-taipei-city"
"jqfp","吐司男 (板橋新海店)","台式","4.8","(2000+)","new-taipei-city"
"xa8f","黃金燒臘","港式","4.6","(1000+)","new-taipei-city"
"i7mp","晨食朝來早午餐","早餐","4.7","(1000+)","new-taipei-city"
"e6kc","台灣小吃","台式","4.7","(1000+)","new-taipei-city"
"m8as","小阿姨米粉湯","台式","4.5","(3000+)","new-taipei-city"
"sl8d","幸德炸雞","小吃","5","(34)","new-taipei-city"
"ttn5","越式成記海鮮麵疙瘩","東南亞","4.7","(500+)","new-taipei-city"
"p1po","泰享吃雞","東南亞","4.5","(67)","new-taipei-city"
"w3e8","柳州螺絲粉 川味酸辣粉 (新莊中信店)","中式","4.7","(500+)","new-taipei-city"
"nl7h","豫彰堂杏仁茶 (新莊自立店)","飲料","4.5","(5)","new-taipei-city"
"x94i","吐司部門","早餐","4.9","(100+)","new-taipei-city"
"e8zv","四維海南雞飯","東南亞","4.8","(1000+)","new-taipei-city"
"v6ez","雲聚涼麵","台式","2.6","(4)","new-taipei-city"
"o9ub","韓流韓式料理","韓式","4.7","(1000+)","new-taipei-city"
"y4bx","晨堅 雞肉鋪","台式","4.8","(100+)","new-taipei-city"
"kh7u","李家小館","台式","4.7","(100+)","new-taipei-city"
"fc22","皇家傳承牛肉麵 (板橋新海門市)","台式","4.8","(1000+)","new-taipei-city"
"tywu","溢湘麵館","台式","4.8","(500+)","new-taipei-city"
"h0kk","茗舖飲品，厚片吐司","小吃","4.3","(100+)","new-taipei-city"
"b4im","哈堡堡輕食早午餐 (板橋英士店)","早餐","4.8","(2000+)","new-taipei-city"
"apdv","肉總裁油飯肉焿","台式","4.6","(100+)","new-taipei-city"
"pp9r","升揚餐坊","台式","4.8","(72)","new-taipei-city"
