"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"ycqm","阿德叔叔健康餐","健康餐","4.5","(19)","taipei-city"
"a0jn","百八魚場 (台北南京店)","日式","4.6","(500+)","taipei-city"
"dgv6","沃可奧低脂能量廚房 (台北市府店)","健康餐","4.9","(1000+)","taipei-city"
"c6ox","Poké Shop波克蔬","健康餐","4.8","(500+)","taipei-city"
"s7ol","GET POWER 給力盒子 低脂健康餐盒 (台北松菸店)","健康餐","4.7","(500+)","taipei-city"
"j7x3","飯點台式自助餐","台式","4.6","(100+)","taipei-city"
"se0f","二代福林福州乾拌麵","中式","4.6","(500+)","taipei-city"
"d68w","辣個巷子 (大安敦南店)","小吃","4.5","(33)","taipei-city"
"tjr2","CAFE_KOREATIME","韓式","4.9","(100+)","taipei-city"
"n00i","生活早餐店","早餐","4.7","(100+)","taipei-city"
"y215","米三角日式飯糰","日式","4.6","(9)","taipei-city"
"d8dr","卡賀廚房 (台北小巨蛋店)","早餐","4.8","(500+)","taipei-city"
"onys","弘爺漢堡 (晞辰店)","早餐","4.7","(500+)","taipei-city"
"x1o9","村民咖哩盒子 (台北大安店)","日式","1.5","(3)","taipei-city"
"a2l5","台灣雙醬咖哩 (台北小巨蛋店)","日式","4.8","(500+)","taipei-city"
"mstv","逸先堂自助餐坊","台式","4.1","(3)","taipei-city"
"y7wb","小蔡永和豆漿","小吃","4.7","(2000+)","taipei-city"
"pc8p","韓御苑 韓式料理","韓式","4.7","(100+)","taipei-city"
"obtt","不晚早餐","早餐","4.7","(16)","taipei-city"
"iatq","艦長漢堡水煮餐","健康餐","4","(25)","taipei-city"
"b6ez","品方小館","台式","4.6","(1000+)","taipei-city"
"smja","小辣椒滷味 (大安忠孝店)","小吃","4.6","(100+)","taipei-city"
"er3o","Thai mini 泰式料理","東南亞","4.7","(47)","taipei-city"
"txkc","比比拌Bibimbap韓式拌飯","韓式","4.8","(2000+)","taipei-city"
"cv5e","BBC早午餐俱樂部","早餐","4.8","(76)","taipei-city"
"mm86","CURRYMADE咖哩製作所","日式","4.9","(32)","taipei-city"
"d3cu","一純現打豆漿 YiChun Soy Ｍilk","甜點","4.9","(500+)","taipei-city"
"d7nu","大口咬吐司","台式","4.9","(500+)","taipei-city"
"db5k","京星港式飲茶一店","港式","4.6","(1000+)","taipei-city"
"bst5","百年舒肥餐盒BAR","健康餐","4.5","(100+)","taipei-city"
"tplg","迎食流咖哩 (台北小巨蛋店)","台式","4.5","(100+)","taipei-city"
"vhvy","台北日常咖啡商行","咖啡","4.8","(100+)","taipei-city"
"gbmd","Pokeworks 夏威夷拌飯","健康餐","4.8","(100+)","taipei-city"
"e262","潭星台南虱目魚","台式","4.7","(1000+)","taipei-city"
"h3zj","鑫吉野烤肉飯 (台北大安店)","台式","4.6","(2000+)","taipei-city"
"foxn","細記港式麵包專賣店","港式","5","(33)","taipei-city"
"gf8z","北投紅茶 (大安店)","飲料","4.5","(20)","taipei-city"
"y3fx","The Normal","咖啡","4.7","(100+)","taipei-city"
"w5db","香師傅滷味 (台北大安店)","小吃","4.7","(2000+)","taipei-city"
