"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"txaz","一品居 快炒 醬燒的店","台式","4.7","(100+)","tainan"
"mj98","小老廣牛肉麵 (台南富農店)","台式","4.7","(500+)","tainan"
"a3hi","義豐冬瓜茶 (青年店)","飲料","4.9","(500+)","tainan"
"ka4q","柚豆 （青年自然水果飲門市）","飲料","4.8","(100+)","tainan"
"u5pd","台南黃記大腸蚵仔麵線(總店)","小吃","4.6","(100+)","tainan"
"bxxm","A PON雲廚 (台南東區店)","飲料","4.8","(100+)","tainan"
"o4gv","璞食蔬食滷味.鹽酥G","小吃","4.8","(100+)","tainan"
"txl9","鴻源金好吃牛肉麵 (台南富農店)","台式","4.8","(100+)","tainan"
"hc34","阿香臭豆腐、豆腐煲 (台南中華東店)","台式","4.7","(1000+)","tainan"
"y2gu","235巷義大利麵 (台南站前店)","歐美","4.8","(10000+)","tainan"
"iduz","一豐鹹酥雞","台式","4.7","(80)","tainan"
"y7os","霍根手搖茶飲","飲料","4.8","(4000+)","tainan"
"my92","白寶奶奶港式菠蘿包 (台南東門店)","港式","5","(5)","tainan"
"wy6b","天品臭豆腐","小吃","4.9","(1000+)","tainan"
"zib8","蔡家米糕","台式","4.8","(100+)","tainan"
"xzlc","三商巧福 (4480台南成功店)","台式","4.8","(100+)","tainan"
"re7a","秘密義大利麵","歐美","4.8","(16)","tainan"
"h1a5","垵口麻辣","台式","4.9","(27)","tainan"
"pdfk","米里 (台南東門店)","飲料","4.9","(100+)","tainan"
"z9tl","波可紅茶專賣店","飲料","4.8","(1000+)","tainan"
"lqyt","濟緣素食餐飲","素食","4.7","(100+)","tainan"
"c3bm","CoCo壹番屋 (台南中山kitchen店)","日式","4.7","(41)","tainan"
"x0cz","大橋麻辣燙 麻辣鴨血","小吃","4.9","(100+)","tainan"
"o2xl","麥當勞 (S486 台南裕農店)","歐美","4.9","(3000+)","tainan"
"f4zv","五賀稼-關東煮鍋燒","台式","4.6","(500+)","tainan"
"nzjy","東門牛肉湯","台式","4.7","(1000+)","tainan"
"jm3i","WOO DAY 日日有茶","飲料","4.8","(100+)","tainan"
"npys","夾到滿鹽水雞 (台南青年店)","小吃","4.6","(14)","tainan"
"f7ap","赤印牛排 (台南裕學店)","台式","4.8","(2000+)","tainan"
"g4ah","1955阿義 (台南崇學店)","飲料","4.7","(53)","tainan"
"jwaf","Bella甜品專賣 (台南公園店)","甜點","4.9","(500+)","tainan"
"gi5h","陸鼎記黑糖飲品專賣店","飲料","4.8","(100+)","tainan"
"y79y","蝦款 What's Up 泰國蝦料理專賣 (台南青年店)","台式","4.7","(54)","tainan"
"pp1u","品覓良茶 (台南總店)","飲料","5","(100+)","tainan"
"b5iu","食在餓飽炒","台式","4.5","(2000+)","tainan"
"fftn","鶴茶樓 (台南北區公園店)","飲料","4.9","(100+)","tainan"
"acdx","愛客pizza (東區富農店)","歐美","5","(74)","tainan"
"mhb6","103巷販賣店","甜點","5","(6)","tainan"
"r5i1","豪傳說雞排 (台南成大店)","小吃","4.9","(100+)","tainan"
"o5e8","不吃不可鹽水雞 (台南公園店)","小吃","4.7","(2)","tainan"
"t2pv","綠巨仁綠豆湯","甜點","4.8","(100+)","tainan"
"t4nr","林桑鹽水雞油雞醉雞 (台南大東店)","小吃","4.9","(100+)","tainan"
"wh0c","燒貨弁當販賣所","台式","4.4","(17)","tainan"
"d7rx","胖廚西式餐廳","歐美","4.7","(100+)","tainan"
"nrp5","金茶伍手作飲品 (永康復國門市)","飲料","4.9","(500+)","tainan"
"a316","金芭樂 (台南富農店)","甜點","4.9","(100+)","tainan"
"k5ce","北京湯包","中式","4.6","(500+)","tainan"
"w174","FrozenHeart凍心炸冰淇淋 (台南大東店)","甜點","4.8","(90)","tainan"
"xotw","姍ㄟ 甘蔗雞 炒麵店","小吃","4.9","(40)","tainan"
"b1wl","海鷗茶館","飲料","4.7","(1000+)","tainan"
"xeyc","Thai Aroi 泰好吃","東南亞","4","(53)","tainan"
"o0p0","天滋道天然酵素臭豆腐 葷素","台式","4.8","(100+)","tainan"
"zlhe","米克斯羊肉","台式","4.5","(100+)","tainan"
"hban","壹壹捌家庭料理烘培","歐美","4.9","(23)","tainan"
"u5ua","章記清蒸麻辣豆腐煲","小吃","4.9","(500+)","tainan"
"s1fs","滿味美食家。醬汁肉粿","小吃","4.5","(100+)","tainan"
"a0fj","胖胖脆皮雞蛋糕","甜點","4.7","(500+)","tainan"
"lufn","在地人鹽水雞 (永康復國店)","小吃","4.7","(500+)","tainan"
"z6ka","池 東山鴨頭","小吃","4.5","(1000+)","tainan"
"b6de","古早味鴻茶","飲料","4.8","(100+)","tainan"
"smso","蕃薯潘地瓜球 (台南旗艦店)","甜點","5","(18)","tainan"
"v8xi","日出極光茶飲專賣店 (台南大東店)","飲料","4.6","(50)","tainan"
"qyd8","老有味麻辣燙/拌","小吃","4.4","(87)","tainan"
"foxk","白巷子 (台南公園店)","飲料","4.9","(500+)","tainan"
"x1zb","麵煮站","台式","4.7","(86)","tainan"
"a5yq","千野居","日式","4.4","(500+)","tainan"
"z1gk","叁七cafe+tea","甜點","4.9","(1000+)","tainan"
"d5ha","西門粉圓冰店","甜點","4.1","(100+)","tainan"
"alea","海之味食堂","歐美","4.7","(100+)","tainan"
"zytu","池記滷味","小吃","4.8","(100+)","tainan"
"z0wf","蛋蛋豪","台式","4.7","(100+)","tainan"
"z0yi","南都燒肉粽","小吃","4.8","(1000+)","tainan"
"p9gt","鮮滷味 (台南林森店)","小吃","4.8","(1000+)","tainan"
"vzcz","五妃魯味 (台南公園南店)","小吃","4.8","(100+)","tainan"
"mgh1","弎金麻麻","小吃","4.9","(9)","tainan"
"qkjp","真小店古早味小吃","小吃","4.9","(51)","tainan"
"qr0r","MT•杉研複合式餐飲","台式","4.7","(100+)","tainan"
"aqdn","千薏地瓜球","甜點","4.9","(16)","tainan"
"ex04","夏沐綠野 (台南奇美店)","飲料","4.6","(100+)","tainan"
"x3xi","黃金豚日式丼飯專賣店","日式","4.4","(1000+)","tainan"
"hdw7","來日方茶","飲料","4.7","(93)","tainan"
"fzpy","裳修越南美食","東南亞","4.4","(100+)","tainan"
"jrxp","八方雲集 (台南成功店)","台式","4.8","(500+)","tainan"
"for0","金茶伍手作茶飲 (台南南台店)","飲料","4.8","(1000+)","tainan"
"d3lv","康脆滋手工玉米花","甜點","5","(100+)","tainan"
"toob","魚老鐵烤魚 (台南創始店)","中式","4.6","(25)","tainan"
"hq6v","豆哥牛排(永康復國店)","歐美","4.9","(1000+)","tainan"
"wxel","天然草本茶•Draftea 草字頭","飲料","4.9","(51)","tainan"
"dgiu","爆漿湯包","中式","4.3","(84)","tainan"
"ouf5","樂咖果汁","飲料","4.6","(100+)","tainan"
"jic6","yes58 義大利麵 (台南崇學店)","歐美","4.5","(500+)","tainan"
"dq53","劉妹鍋燒 (公園南路店)","台式","4.7","(1000+)","tainan"
"m27k","湁鍋饌精緻鍋物","台式","4.5","(100+)","tainan"
"b77e","非喫不可","台式","4.8","(1000+)","tainan"
"hwdx","九洲王樣料理居食屋","日式","4.8","(1000+)","tainan"
"vanq","天天有魚虱目魚專賣店","台式","4.8","(2000+)","tainan"
"b6oo","太洁滷味","小吃","4.6","(1000+)","tainan"
"l7jp","爭鮮PLUS (崇學店)","日式","4.9","(500+)","tainan"
"t8b4","雪莉餐飲宵夜 (永康忠孝店)","台式","4.8","(500+)","tainan"
"xlg0","酒河豚","日式","4.4","(100+)","tainan"
"tooe","遇見鹹水雞","小吃","4.7","(100+)","tainan"
"pvbx","御廚藥膳排骨湯","台式","2.7","(5)","tainan"
"bymv","穆納MUNA TEA HOUSE (永康復國店)","飲料","4.9","(100+)","tainan"
"yj6m","大媽臭臭鍋","台式","4.7","(56)","tainan"
"br5b","牛屋排餐專賣店 (永康復國店)","台式","4.8","(500+)","tainan"
"afe9","郭家食堂","台式","4.8","(100+)","tainan"
"v1wf","將軍雞排","小吃","4.7","(2000+)","tainan"
"l177","摩爾義式料理","歐美","4.7","(85)","tainan"
"b5ov","FB茶飲","飲料","4.7","(500+)","tainan"
"ltw4","琦峯炒泡麵","台式","4.7","(100+)","tainan"
"erp3","Mr.布魯水煮健康餐 (台南南台店)","健康餐","4.7","(100+)","tainan"
"kjzn","Fresh鹹水雞","小吃","5","(29)","tainan"
"r6ht","辛巷豆腐煲鴨血煲","小吃","4.6","(37)","tainan"
"g7yq","一代目飲料店","飲料","4.8","(500+)","tainan"
"k0au","美極客","歐美","4.7","(100+)","tainan"
"orhb","店仔口茶飲 (台南復國店)","飲料","5","(2)","tainan"
